Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"8,400",
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, ,
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"14,200",
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"6,700",
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, ,
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, ,
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"17,400",
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, ,
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"12,400",
SURVEY,2021,FIRST OF JAN,,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"22,000",
