Year,Value
2021,"30,125,100"
2020,"30,843,600"
2019,"31,338,700"
2018,"31,690,700"
2017,"31,466,200"
2016,"31,170,700"
2015,"30,163,800"
2014,"29,332,100"
2013,"28,956,400"
2012,"29,631,300"
2011,"30,281,900"
2010,"30,912,600"
2009,"31,439,900"
2008,"31,793,800"
2007,"32,434,500"
2006,"32,644,200"
2005,"32,702,500"
2004,"32,674,400"
2003,"32,531,300"
2002,"32,983,300"
2001,"33,133,700"
2000,"33,398,200"
1999,"33,575,000"
1998,"33,750,400"
1997,"33,885,000"
1996,"34,457,900"
1995,"35,318,700"
1994,"35,190,300"
1993,"34,602,900"
1992,"33,364,900"
1991,"33,006,800"
1990,"32,519,800"
1989,"32,454,700"
1988,"32,487,600"
1987,"33,182,600"
1986,"33,945,400"
1985,"33,753,300"
1984,"35,405,500"
1983,"37,483,900"
1982,"37,939,600"
1981,"39,229,600"
1980,"38,773,100"
1979,"37,107,400"
1978,"37,061,800"
1977,"38,738,400"
1976,"41,443,400"
1975,"43,900,600"
1974,"45,711,800"
1973,"43,181,700"
1972,"40,931,600"
1971,"38,809,600"
1970,"37,877,600"
1969,"36,689,600"
1968,"36,510,500"
1967,"35,565,400"
1966,"34,708,300"
1965,"34,442,200"
1964,"34,238,000"
1963,"32,793,800"
1962,"30,588,600"
1961,"28,691,400"
1960,"27,327,400"
1959,"26,344,000"
1958,"25,112,000"
1957,"24,165,000"
1956,"24,534,000"
1955,"25,371,000"
1954,"25,659,000"
1953,"25,050,000"
1952,"23,291,000"
1951,"20,863,000"
1950,"18,526,000"
1949,"16,743,000"
1948,"15,919,000"
1947,"16,010,000"
1946,"16,488,000"
1945,"16,408,000"
1944,"16,456,000"
1943,"15,521,000"
1942,"13,980,000"
1941,"12,578,000"
1940,"11,366,000"
1939,"10,676,000"
1938,"9,987,000"
1937,"10,132,000"
1936,"10,682,000"
1935,"11,048,000"
1934,"11,151,000"
1933,"12,678,000"
1932,"11,346,000"
1931,"10,439,000"
1930,"9,809,000"
1929,"9,162,000"
1928,"8,997,000"
1927,"8,926,000"
1926,"9,439,000"
1925,"10,294,000"
1924,"11,204,000"
1923,"11,926,000"
1922,"11,974,000"
1921,"12,182,000"
1920,"12,292,000"
1919,"12,525,000"
