YEAR,LOCATION,STATE ANSI,REFERENCE PERIOD,COMMODITY,"TOTAL, NOT SPECIFIED in HEAD"
2021,US TOTAL,  ,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","2,210,500"
2021,ALABAMA,1,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","45,000"
2021,ALASKA,2,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","4,300"
2021,ARIZONA,4,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","20,000"
2021,ARKANSAS,5,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","60,000"
2021,CALIFORNIA,6,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","60,000"
2021,COLORADO,8,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","45,000"
2021,CONNECTICUT,9,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS",500
2021,DELAWARE,10,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS",400
2021,FLORIDA,12,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","55,000"
2021,GEORGIA,13,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","32,000"
2021,HAWAII,15,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","4,000"
2021,IDAHO,16,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","40,000"
2021,ILLINOIS,17,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","20,000"
2021,INDIANA,18,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","15,000"
2021,IOWA,19,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","60,000"
2021,KANSAS,20,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","90,000"
2021,KENTUCKY,21,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","65,000"
2021,LOUISIANA,22,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","30,000"
2021,MAINE,23,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","1,500"
2021,MARYLAND,24,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","3,500"
2021,MASSACHUSETTS,25,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","1,000"
2021,MICHIGAN,26,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","14,000"
2021,MINNESOTA,27,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","30,000"
2021,MISSISSIPPI,28,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","40,000"
2021,MISSOURI,29,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","120,000"
2021,MONTANA,30,FIRST OF JAN,"CATTLE, BULLS, GE 500 LBS","100,000"
