Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,ANDERSON,5,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"7,900",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,BATH,11,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"15,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,BOURBON,17,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"21,500",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,BOYLE,21,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"9,200",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,CLARK,49,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"16,500",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,FAYETTE,67,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, (D),
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,FLEMING,69,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"18,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,FRANKLIN,73,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"6,400",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,GARRARD,79,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"20,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,HARRISON,97,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"17,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,JESSAMINE,113,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"8,400",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,LINCOLN,137,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"19,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,MADISON,151,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"25,500",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,MASON,161,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"13,100",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,MERCER,167,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"12,200",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,MONTGOMERY,173,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"13,100",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,NICHOLAS,181,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"10,900",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,ROBERTSON,201,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"3,800",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,SCOTT,209,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, (D),
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,SHELBY,211,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"15,800",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,SPENCER,215,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED, (D),
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,WASHINGTON,229,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"21,500",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,BLUEGRASS,50,WOODFORD,239,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"9,000",
SURVEY,2021,FIRST OF JAN,,COUNTY,KENTUCKY,21,CENTRAL,30,ADAIR,1,,,0,,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,NOT SPECIFIED,"18,000",
